txn_date,value_date,narration,chq_ref_no,withdrawal_amt,deposit_amt,closing_balance
18/01/2026,18/01/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26011800005-PART 2/2,HDFCN26011800005,,6934.95,1121753.36
19/01/2026,19/01/2026,ACH DR-BAJAJ ALLIANZ GEN INS-POLICY 0328841,0,34700.00,,1087053.36
21/01/2026,21/01/2026,GST PMT-06 CHALLAN 26011234567890-JAN26,0,128740.00,,958313.36
22/01/2026,22/01/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26012200006,HDFCN26012200006,,4444.22,962757.58
23/01/2026,23/01/2026,NEFT CR-ZEPTO MARKETPLACE-ZEP/SETL/260123,ZEP/SETL/260123,,70929.33,1033686.91
24/01/2026,24/01/2026,NEFT DR-META PLATFORMS IRELAND-ADS JAN26,0,216800.00,,816886.91
25/01/2026,25/01/2026,NEFT CR-HDFC0000060-AYUR WELLNESS DISTRIBUTORS-INV-B2B-0147,INV-B2B-0147,,156300.00,973186.91
26/01/2026,26/01/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26012600007,HDFCN26012600007,,54745.56,1027932.47
27/01/2026,27/01/2026,ACH DR-MPPKVVCL ELECTRICITY-CA 1204887,0,18640.00,,1009292.47
27/01/2026,27/01/2026,NEFT CR-PUNB0223400-NORTHGATE TRADING CO-REF NOTE ADV AGAINST ORDER,0,,57600.00,1066892.47
28/01/2026,28/01/2026,POS SETTLEMENT CR-PINELABS TID PL40218904-STORE COUNTER,PL40218904,,74180.25,1141072.72
29/01/2026,29/01/2026,TDS PAYMENT CHALLAN 26010012345-194C JAN26,0,21460.00,,1119612.72
30/01/2026,30/01/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26013000008,HDFCN26013000008,,14500.48,1134113.20
31/01/2026,31/01/2026,NEFT CR-HDFC0000060-GLOW STUDIO CHAIN LLP-INV-B2B-0152,INV-B2B-0152,,112750.00,1246863.20
01/02/2026,01/02/2026,CHARGES-SMS ALERT AND CMS JAN26,0,236.00,,1246627.20
03/02/2026,03/02/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26020300009,HDFCN26020300009,,12709.46,1259336.66
04/02/2026,04/02/2026,NACH DR-LUMEA SALARY BATCH FEB26-NPCI,0,486500.00,,772836.66
06/02/2026,06/02/2026,NEFT CR-BLINKIT MARKETPLACE-BLI/SETL/260206,BLI/SETL/260206,,165809.46,938646.12
06/02/2026,06/02/2026,NEFT DR-SHREE PACKAGING LLP-INV/SP/2026/0503,0,132450.00,,806196.12
07/02/2026,07/02/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26020700010,HDFCN26020700010,,3331.91,809528.03
08/02/2026,08/02/2026,POS SETTLEMENT CR-PINELABS TID PL40218915-STORE COUNTER,PL40218915,,62940.00,872468.03
09/02/2026,09/02/2026,RTGS DR-VARDHMAN ESTATES-RENT FEB 2026,0,92000.00,,780468.03
11/02/2026,11/02/2026,NEFT CR-HDFC0000060-SETTLEMENT REF NOT AVAILABLE-,0,,23874.35,804342.38
12/02/2026,12/02/2026,NEFT DR-DELHIVERY LIMITED-INV/DL/22841,0,87310.00,,717032.38
13/02/2026,13/02/2026,NEFT CR-HDFC0000060-SHRINGAR RETAIL LLP-INV-B2B-0159,INV-B2B-0159,,88900.00,805932.38
14/02/2026,14/02/2026,ACH DR-AIRTEL BUSINESS-ACC 108844721,0,8990.00,,796942.38
15/02/2026,15/02/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26021500012,HDFCN26021500012,,72524.03,869466.41
17/02/2026,17/02/2026,GST PMT-06 CHALLAN 26021234598765-FEB26,0,141220.00,,728246.41
18/02/2026,18/02/2026,MISC DR-RTN CHRG NACH RETURN 26021800917,0,4720.00,,723526.41
19/02/2026,19/02/2026,SETTLEMENT CREDIT-RAZORPAY SOFTWARE PVT LTD-PAYMENT GATEWAY BATCH,0,,42957.00,766483.41
20/02/2026,20/02/2026,NEFT CR-ZEPTO MARKETPLACE-ZEP/SETL/260220,ZEP/SETL/260220,,104647.42,871130.83
20/02/2026,20/02/2026,NEFT DR-GOOGLE INDIA PVT LTD-ADS FEB26,0,174900.00,,696230.83
21/02/2026,21/02/2026,POS SETTLEMENT CR-PINELABS TID PL40218928-STORE COUNTER,PL40218928,,88310.75,784541.58
22/02/2026,22/02/2026,ACH DR-MPPKVVCL ELECTRICITY-CA 1204887,0,20180.00,,764361.58
23/02/2026,23/02/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26022300015,HDFCN26022300015,,85855.13,850216.71
25/02/2026,25/02/2026,NEFT DR-AROMA NATURALS PVT LTD-INV/AN/8902,0,198750.00,,651466.71
26/02/2026,26/02/2026,NEFT CR-HDFC0000060-SALON HUB RETAIL PVT LTD-INV-B2B-0168,INV-B2B-0168,,74900.00,726366.71
27/02/2026,27/02/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26022700016,HDFCN26022700016,,31551.46,757918.17
28/02/2026,28/02/2026,TDS PAYMENT CHALLAN 26020012987-194C FEB26,0,19870.00,,738048.17
02/03/2026,02/03/2026,CHARGES-NEFT OUTWARD FEB26 INCL GST,0,389.00,,737659.17
02/03/2026,02/03/2026,"FIRC INWARD REM-STRIPE PAYMENTS UK LTD-USD 3,410.00 @ RATE NOT ADVISED",0,,286440.00,1024099.17
03/03/2026,03/03/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26030300017,HDFCN26030300017,,88020.10,1112119.27
04/03/2026,04/03/2026,POS SETTLEMENT CR-PINELABS TID PL40218939-STORE COUNTER,PL40218939,,57620.00,1169739.27
05/03/2026,05/03/2026,NACH DR-LUMEA SALARY BATCH MAR26-NPCI,0,501200.00,,668539.27
06/03/2026,06/03/2026,NEFT CR-BLINKIT MARKETPLACE-BLI/SETL/260306,BLI/SETL/260306,,132212.44,800751.71
06/03/2026,06/03/2026,NEFT DR-KRISHNA LABELS AND PRINT-INV/KL/1194,0,46800.00,,753951.71
07/03/2026,07/03/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26030700018,HDFCN26030700018,,3408.98,757360.69
08/03/2026,08/03/2026,RTGS DR-VARDHMAN ESTATES-RENT MAR 2026,0,92000.00,,665360.69
09/03/2026,09/03/2026,NEFT CR-HDFC0000060-AYUR WELLNESS DISTRIBUTORS-INV-B2B-0174,INV-B2B-0174,,134500.00,799860.69
10/03/2026,10/03/2026,NEFT DR-DELHIVERY LIMITED-INV/DL/23197,0,94180.00,,705680.69
11/03/2026,11/03/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26031100019-CONSOLIDATED 2 BATCHES,HDFCN26031100019,,55474.10,761154.79
12/03/2026,12/03/2026,CASH DEP-INDORE VIJAY NAGAR BR-REF 9827XXXX41,0,,35000.00,796154.79
13/03/2026,13/03/2026,ACH DR-AIRTEL BUSINESS-ACC 108844721,0,9210.00,,786944.79
14/03/2026,14/03/2026,POS SETTLEMENT CR-PINELABS TID PL40218949-STORE COUNTER,PL40218949,,69450.50,856395.29
15/03/2026,15/03/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26031500021,HDFCN26031500021,,44205.67,900600.96
16/03/2026,16/03/2026,CHARGES-QTRLY A/C MAINTENANCE INCL GST,0,1180.00,,899420.96
18/03/2026,18/03/2026,GST PMT-06 CHALLAN 26031234512345-MAR26,0,156880.00,,742540.96
19/03/2026,19/03/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26031900022,HDFCN26031900022,,27577.76,770118.72
19/03/2026,19/03/2026,NEFT CR-HDFC0000060-URBAN SPA VENTURES-INV-B2B-0181,INV-B2B-0181,,93250.00,863368.72
19/03/2026,19/03/2026,NEFT CR-ZEPTO MARKETPLACE-ZEP/SETL/260319,ZEP/SETL/260319,,88071.50,951440.22
21/03/2026,21/03/2026,NEFT DR-META PLATFORMS IRELAND-ADS MAR26,0,232400.00,,719040.22
23/03/2026,23/03/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26032300023,HDFCN26032300023,,57947.05,776987.27
24/03/2026,24/03/2026,NEFT CR-ICIC0000112-GLOW STUDIO CHAIN LLP-PART PAY INV-B2B-0152,0,,94300.00,871287.27
25/03/2026,25/03/2026,NEFT DR-SHREE PACKAGING LLP-INV/SP/2026/0587,0,121900.00,,749387.27
26/03/2026,26/03/2026,POS SETTLEMENT CR-PINELABS TID PL40218961-STORE COUNTER,PL40218961,,80115.00,829502.27
28/03/2026,28/03/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26032800024,HDFCN26032800024,,23615.00,853117.27
28/03/2026,28/03/2026,TDS PAYMENT CHALLAN 26030013442-194C MAR26,0,23140.00,,829977.27
29/03/2026,29/03/2026,NEFT CR-HDFC0000060-SHRINGAR RETAIL LLP-INV-B2B-0188,INV-B2B-0188,,102600.00,932577.27
30/03/2026,30/03/2026,ACH DR-MPPKVVCL ELECTRICITY-CA 1204887,0,17420.00,,915157.27
31/03/2026,31/03/2026,INT CR-SAVINGS SWEEP INTEREST Q4 FY26,0,,4820.00,919977.27
