voucher_date,voucher_type,voucher_number,ledger_name,party_ledger_name,debit,credit,narration,reference_number,cost_centre,gstin,voucher_guid
2026-01-05,Sales,SAL/2025-26/00004,Sales,,,"4,501.99",Sales order order_XqmjnNUF7uFATt,order_XqmjnNUF7uFATt,Own Store,,guid_mzR2XZMSrZhZxVO8leLq
2026-01-05,Sales,SAL/2025-26/00005,Sales,,,"21,700.99",Sales order order_PN7wPubhgqRPGL,order_PN7wPubhgqRPGL,Own Store,,guid_lhDjpHjhuLPIFvHNUOfh
2026-01-05,Sales,SAL/2025-26/00064,Sales,,,"1,56,300.00",Sales order INV-B2B-0147,INV-B2B-0147,B2B,,guid_jfIBVc1t1k99MbxjKAPw
2026-01-06,Journal,JNL/2025-26/00002,Bank Charges,RAZORPAY,524.06,,"MDR, GST and TDS 194-O on setl_tXYtTV0xmkZj1k",HDFCN26010600002,Own Store,,guid_ENQuUWkfgiD0lPMUHrje
2026-01-06,Journal,JNL/2025-26/00002,GST Input,RAZORPAY,94.33,,"MDR, GST and TDS 194-O on setl_tXYtTV0xmkZj1k",HDFCN26010600002,Own Store,,guid_iMGCEy2JuTzwLRsEuXk0
2026-01-06,Journal,JNL/2025-26/00002,TDS Receivable,RAZORPAY,26.20,,"MDR, GST and TDS 194-O on setl_tXYtTV0xmkZj1k",HDFCN26010600002,Own Store,,guid_Z0yL1RfkRlXAaradrsYG
2026-01-06,Receipt,RCP/2025-26/00002,HDFC Bank 4471,RAZORPAY,"25,558.39",,Settlement setl_tXYtTV0xmkZj1k / 2 orders / UTR HDFCN26010600002,HDFCN26010600002,Own Store,,guid_gUunEm7qbDQnloqlOyA4
2026-01-07,Sales,SAL/2025-26/00057,Sales,,,"1,84,320.00",Sales order BLI/SETL/260109,BLI/SETL/260109,Blinkit,,guid_GT3XAllq51ISysTQtvBK
2026-01-08,Payment,PAY/2025-26/00002,Salaries,STAFF,"4,86,500.00",,NACH DR-LUMEA SALARY BATCH JAN26-NPCI,,,,guid_4AvZY0G4p5WuMLx0jguj
2026-01-09,Journal,JNL/2025-26/00025,Marketplace Commission,BLINKIT,"33,177.60",,"Commission, GST and TCS on BLI/SETL/260109",BLI/SETL/260109,Blinkit,,guid_lJ5W9R4PeMZSJCtKX4yR
2026-01-09,Journal,JNL/2025-26/00025,GST Input,BLINKIT,"5,971.97",,"Commission, GST and TCS on BLI/SETL/260109",BLI/SETL/260109,Blinkit,,guid_Jlb7EU9loSjqPJkQGNUa
2026-01-09,Journal,JNL/2025-26/00025,TCS Receivable,BLINKIT,921.60,,"Commission, GST and TCS on BLI/SETL/260109",BLI/SETL/260109,Blinkit,,guid_vlCSQA8uETXhHiTWSAXe
2026-01-09,Receipt,RCP/2025-26/00022,HDFC Bank 4471,BLINKIT,"1,44,248.83",,Marketplace settlement BLI/SETL/260109,BLI/SETL/260109,Blinkit,,guid_0qeFEVTen7omT8aUGYL7
2026-01-09,Sales,SAL/2025-26/00006,Sales,,,"16,000.50",Sales order order_JoFMOPMxKyOdpE,order_JoFMOPMxKyOdpE,Own Store,,guid_mh3xeAoALOtAC5vSaC3G
2026-01-09,Sales,SAL/2025-26/00007,Sales,,,"28,448.50",Sales order order_GG1e7iCRcDsJs5,order_GG1e7iCRcDsJs5,Own Store,,guid_tKnPeIH2WcZhVeAEPn3U
2026-01-09,Sales,SAL/2025-26/00008,Sales,,,"8,871.99",Sales order order_Fkn0A0QmSK86hI,order_Fkn0A0QmSK86hI,Own Store,,guid_QBkBeIeAQbQMl6CdxLZY
2026-01-10,Journal,JNL/2025-26/00003,TDS Receivable,RAZORPAY,53.32,,"MDR, GST and TDS 194-O on setl_ZY9VqUWsFOzj7u",HDFCN26011000003,Own Store,,guid_jppMpLKaZv2Xdmf5VZ8U
2026-01-11,Payment,PAY/2025-26/00003,Rent,VARDHMAN ESTATES,"92,000.00",,RTGS DR-VARDHMAN ESTATES-RENT JAN 2026,,,,guid_aznS5aUVPoQYEyv3oY8S
2026-01-11,Receipt,RCP/2025-26/00003,HDFC Bank 4471,RAZORPAY,"53,267.67",,Settlement setl_ZY9VqUWsFOzj7u / 3 orders / UTR HDFCN26011000003,HDFCN26011000003,Own Store,,guid_pjNtMyXSHicq7Ubgs71V
2026-01-11,Sales,SAL/2025-26/00065,Sales,,,"1,12,750.00",Sales order INV-B2B-0152,INV-B2B-0152,B2B,,guid_EWI1xBwmz4Pq4GcxEy7W
2026-01-13,Payment,PAY/2025-26/00004,Rates and Taxes,INDORE MUNICIPAL CORP,"12,500.00",,NEFT DR-INDORE MUNICIPAL CORP-TRADE LICENCE,,,,guid_guYQ0iE5hoR4xUjzfg2U
2026-01-13,Sales,SAL/2025-26/00009,Sales,,,"4,372.00",Sales order order_x3WxBEncdTIAzO,order_x3WxBEncdTIAzO,Own Store,,guid_LJCEKI3LKhyhv3CoI4WH
2026-01-13,Sales,SAL/2025-26/00010,Sales,,,"13,696.99",Sales order order_eDh0rGBmf9vf8F,order_eDh0rGBmf9vf8F,Own Store,,guid_o8Clya5S3E00bNpq55z3
2026-01-13,Sales,SAL/2025-26/00011,Sales,,,"10,317.00",Sales order order_QzHrsFC1uYQMJ3,order_QzHrsFC1uYQMJ3,Own Store,,guid_9EdSKdTkXcEhG8VzfPHD
2026-01-14,Journal,JNL/2025-26/00004,Bank Charges,RAZORPAY,361.38,,"MDR, GST and TDS 194-O on setl_WSK4VvtIqO44MR",HDFCN26011400004,Own Store,,guid_2tTpaAcpv2DHcgXeHqRv
2026-01-14,Journal,JNL/2025-26/00004,GST Input,RAZORPAY,65.05,,"MDR, GST and TDS 194-O on setl_WSK4VvtIqO44MR",HDFCN26011400004,Own Store,,guid_Uo7kumCNhMn92NsLKSWg
2026-01-14,Journal,JNL/2025-26/00004,TDS Receivable,RAZORPAY,28.39,,"MDR, GST and TDS 194-O on setl_WSK4VvtIqO44MR",HDFCN26011400004,Own Store,,guid_eJ3Gu83BTdxVsqQ3Y3yL
2026-01-14,Receipt,RCP/2025-26/00004,HDFC Bank 4471,RAZORPAY,"27,931.17",,Settlement setl_WSK4VvtIqO44MR / 3 orders / UTR HDFCN26011400004,HDFCN26011400004,Own Store,,guid_cECL8626C9yuCEeFEtyL
2026-01-15,Receipt,RCP/2025-26/00036,HDFC Bank 4471,SALON HUB RETAIL PVT LTD,"68,400.00",,Receipt against INV-B2B-0141,INV-B2B-0141,B2B,,guid_bCdtDWIujrHSqQeveqC4
2026-01-16,Receipt,RCP/2025-26/00029,HDFC Bank 4471,PINELABS,"51,290.00",,POS counter settlement TID PL40218892,PL40218892,Retail Counter,,guid_yCXZHwkbsB20sNwl5SgA
2026-01-16,Sales,SAL/2025-26/00013,Sales,,,"14,946.00",Sales order order_ml6DtfSteoJjwB,order_ml6DtfSteoJjwB,Own Store,,guid_R1y8eVpiL2ttYEGFoeUO
2026-01-17,Payment,PAY/2025-26/00005,Purchases,AROMA NATURALS PVT LTD,"2,74,300.00",,NEFT DR-AROMA NATURALS PVT LTD-INV/AN/8871,,,,guid_jxtfwcTsvNf0QylScy5C
2026-01-17,Sales,SAL/2025-26/00012,Sales,,,"2,467.00",Sales order order_HYMTKtMZjsMuVj,order_HYMTKtMZjsMuVj,Own Store,,guid_9KrqNm3Q0Z707LGAyyu7
2026-01-18,Journal,JNL/2025-26/00005,Bank Charges,RAZORPAY,49.34,,"MDR, GST and TDS 194-O on setl_m9IUncfVV20Vjl",HDFCN26011800005,Own Store,,guid_dG3ba86EBr4bBpvpN9m3
2026-01-18,Journal,JNL/2025-26/00005,GST Input,RAZORPAY,8.88,,"MDR, GST and TDS 194-O on setl_m9IUncfVV20Vjl",HDFCN26011800005,Own Store,,guid_LnjE2KitCXYUcHf6aUGf
2026-01-18,Journal,JNL/2025-26/00005,TDS Receivable,RAZORPAY,17.41,,"MDR, GST and TDS 194-O on setl_m9IUncfVV20Vjl",HDFCN26011800005,Own Store,,guid_BJjiA6C5EqesAQ9s9gtA
2026-01-18,Receipt,RCP/2025-26/00005,HDFC Bank 4471,RAZORPAY,"17,337.37",,Settlement setl_m9IUncfVV20Vjl / 2 orders / UTR HDFCN26011800005,HDFCN26011800005,Own Store,,guid_lOHkDFa4JyJ4Gvz5RZgL
2026-01-19,Payment,PAY/2025-26/00006,Insurance,BAJAJ ALLIANZ,"34,700.00",,ACH DR-BAJAJ ALLIANZ GEN INS-POLICY 0328841,,,,guid_lCn5r1r1oLE9wzXRgyN3
2026-01-20,Receipt,RCP/2025-26/00045,HDFC Bank 4471,RAZORPAY,"17,337.37",,Settlement setl_m9IUncfVV20Vjl / re-entered,HDFCN26011800005,Own Store,,guid_Tz7aVqHDO0tHXLPtR1Dj
2026-01-21,Payment,PAY/2025-26/00007,GST Payable,GST DEPT,"1,28,740.00",,GST PMT-06 CHALLAN 26011234567890-JAN26,,,,guid_kdiA87H2EVpmxLWVvQ3G
2026-01-21,Sales,SAL/2025-26/00014,Sales,,,"3,122.00",Sales order order_PXgY0JVQMwEjPQ,order_PXgY0JVQMwEjPQ,Own Store,,guid_NwHBcbnC6NwLKqsrW7cO
2026-01-21,Sales,SAL/2025-26/00015,Sales,,,"2,435.99",Sales order order_GgMFsj4DKaibag,order_GgMFsj4DKaibag,Own Store,,guid_OWxPiaXRzJDCkgVlPQKT
2026-01-21,Sales,SAL/2025-26/00016,Sales,,,"31,807.00",Sales order order_WXo8tclFTD3O4Q,order_WXo8tclFTD3O4Q,Own Store,,guid_UDq6cuqVotuELahfDHi9
2026-01-21,Sales,SAL/2025-26/00058,Sales,,,"96,450.00",Sales order ZEP/SETL/260123,ZEP/SETL/260123,Zepto,,guid_Nq6MCBSiLrQT3Qq1hcqi
2026-01-22,Credit Note,CN/2025-26/00001,Sales Return,,"31,807.00",,Refund against order order_WXo8tclFTD3O4Q,order_WXo8tclFTD3O4Q,Own Store,,guid_lLu28xC6VdFDhBlAO2vu
2026-01-22,Journal,JNL/2025-26/00006,Bank Charges,RAZORPAY,912.21,,"MDR, GST and TDS 194-O on setl_epdkBIalrHhO6C",HDFCN26012200006,Own Store,,guid_GR8k1Z2Vc5n80hSvn8gD
2026-01-22,Journal,JNL/2025-26/00006,GST Input,RAZORPAY,164.20,,"MDR, GST and TDS 194-O on setl_epdkBIalrHhO6C",HDFCN26012200006,Own Store,,guid_np2ylcf83czuQJZPdD0q
2026-01-22,Journal,JNL/2025-26/00006,TDS Receivable,RAZORPAY,37.36,,"MDR, GST and TDS 194-O on setl_epdkBIalrHhO6C",HDFCN26012200006,Own Store,,guid_vcYrjKlfdFPKwRLhw3JP
2026-01-22,Receipt,RCP/2025-26/00006,HDFC Bank 4471,RAZORPAY,"4,444.22",,Settlement setl_epdkBIalrHhO6C / 3 orders / UTR HDFCN26012200006,HDFCN26012200006,Own Store,,guid_cj9lsdCPPURiKV77DejH
2026-01-23,Journal,JNL/2025-26/00026,Marketplace Commission,ZEPTO,"21,219.00",,"Commission, GST and TCS on ZEP/SETL/260123",ZEP/SETL/260123,Zepto,,guid_XqLLNSjdZnzR5UWowZn7
2026-01-23,Journal,JNL/2025-26/00026,GST Input,ZEPTO,"3,819.42",,"Commission, GST and TCS on ZEP/SETL/260123",ZEP/SETL/260123,Zepto,,guid_XzkEbdjUTNMTNW82sBvD
2026-01-23,Journal,JNL/2025-26/00026,TCS Receivable,ZEPTO,482.25,,"Commission, GST and TCS on ZEP/SETL/260123",ZEP/SETL/260123,Zepto,,guid_KAJ9BJHCp9DSgDrHexxg
2026-01-23,Receipt,RCP/2025-26/00023,HDFC Bank 4471,ZEPTO,"70,929.33",,Marketplace settlement ZEP/SETL/260123,ZEP/SETL/260123,Zepto,,guid_mXoZnDUJhfSm9UOIoqxv
2026-01-24,Payment,PAY/2025-26/00008,Advertising,META PLATFORMS,"2,16,800.00",,NEFT DR-META PLATFORMS IRELAND-ADS JAN26,,,,guid_Hj2aKmq4z3NyJgGezj1J
2026-01-24,Sales,SAL/2025-26/00017,Sales,,,"6,341.99",Sales order order_udoAZPytTRg7s5,order_udoAZPytTRg7s5,Own Store,,guid_FhOT5KLSXnS3c5ogIEIG
2026-01-24,Sales,SAL/2025-26/00066,Sales,,,"88,900.00",Sales order INV-B2B-0159,INV-B2B-0159,B2B,,guid_PRPBUdfzsAfstii7z0o2
2026-01-25,Receipt,RCP/2025-26/00037,HDFC Bank 4471,AYUR WELLNESS DISTRIBUTORS,"1,56,300.00",,Receipt against INV-B2B-0147,INV-B2B-0147,B2B,,guid_dTYJ1nTAU6VsDqGvSsHQ
2026-01-25,Sales,SAL/2025-26/00018,Sales,,,"4,045.50",Sales order order_Czvg90Bp7irdUv,order_Czvg90Bp7irdUv,Own Store,,guid_1ElZcOuJhn3vea60cUFs
2026-01-25,Sales,SAL/2025-26/00019,Sales,,,"44,623.50",Sales order order_88ilFkbuAKgXVS,order_88ilFkbuAKgXVS,Own Store,,guid_AIjpmX68RRmsjHdPRFvK
2026-01-26,Journal,JNL/2025-26/00007,Bank Charges,RAZORPAY,178.33,,"MDR, GST and TDS 194-O on setl_2jDFZ7bi0QZrnj",HDFCN26012600007,Own Store,,guid_eaCAnokn4gIAQitcLkge
2026-01-26,Journal,JNL/2025-26/00007,GST Input,RAZORPAY,32.09,,"MDR, GST and TDS 194-O on setl_2jDFZ7bi0QZrnj",HDFCN26012600007,Own Store,,guid_k6cu6HspJHFnXkguuxZu
2026-01-26,Journal,JNL/2025-26/00007,TDS Receivable,RAZORPAY,55.01,,"MDR, GST and TDS 194-O on setl_2jDFZ7bi0QZrnj",HDFCN26012600007,Own Store,,guid_9RyvPOwIQ5FpQRDh4iSp
2026-01-26,Receipt,RCP/2025-26/00007,HDFC Bank 4471,RAZORPAY,"54,745.56",,Settlement setl_2jDFZ7bi0QZrnj / 3 orders / UTR HDFCN26012600007,HDFCN26012600007,Own Store,,guid_2C6x8ry5pkZYIGvjiR3q
2026-01-27,Payment,PAY/2025-26/00009,Electricity,MPPKVVCL,"18,640.00",,ACH DR-MPPKVVCL ELECTRICITY-CA 1204887,,,,guid_wwyXLlfCZ93rLmrRjOsJ
2026-01-28,Receipt,RCP/2025-26/00030,HDFC Bank 4471,PINELABS,"74,180.25",,POS counter settlement TID PL40218904,PL40218904,Retail Counter,,guid_m51SZT91t9GotChgadcj
2026-01-28,Sales,SAL/2025-26/00020,Sales,,,"11,880.00",Sales order order_psXmPOR0ISHLvu,order_psXmPOR0ISHLvu,Own Store,,guid_2e7oM47fHbX9GEErAqyl
2026-01-29,Payment,PAY/2025-26/00010,TDS Payable,INCOME TAX DEPT,"21,460.00",,TDS PAYMENT CHALLAN 26010012345-194C JAN26,,,,guid_V9Plq85mMiuTLXJxalKn
2026-01-29,Sales,SAL/2025-26/00021,Sales,,,"2,634.99",Sales order order_sHgX36GySMqB7a,order_sHgX36GySMqB7a,Own Store,,guid_g0R6upI5eKWbp5kt6PrA
2026-01-31,Receipt,RCP/2025-26/00038,HDFC Bank 4471,GLOW STUDIO CHAIN LLP,"1,12,750.00",,Receipt against INV-B2B-0152,INV-B2B-0152,B2B,,guid_gHLwxqbffne8xlptzHkR
2026-02-02,Sales,SAL/2025-26/00022,Sales,,,"2,731.50",Sales order order_eSxuKB70M7y0ju,order_eSxuKB70M7y0ju,Own Store,,guid_UbiicgMxy0j9CcD6MTHB
2026-02-02,Sales,SAL/2025-26/00023,Sales,,,"10,246.00",Sales order order_7MuRqdWWuXTEoK,order_7MuRqdWWuXTEoK,Own Store,,guid_R9GLUdBzQPusWOyzjQTj
2026-02-03,Journal,JNL/2025-26/00008,Bank Charges,RAZORPAY,215.84,,"MDR, GST and TDS 194-O on setl_PS2GDMtGZCGcd2",HDFCN26020300009,Own Store,,guid_gSNqgjYIjSPmIjQyr3t8
2026-02-03,Journal,JNL/2025-26/00008,GST Input,RAZORPAY,38.85,,"MDR, GST and TDS 194-O on setl_PS2GDMtGZCGcd2",HDFCN26020300009,Own Store,,guid_s0ZvpIWNFX3SJCRv4EU0
2026-02-03,Journal,JNL/2025-26/00008,TDS Receivable,RAZORPAY,12.98,,"MDR, GST and TDS 194-O on setl_PS2GDMtGZCGcd2",HDFCN26020300009,Own Store,,guid_YnfmpPJma02GkFqc6yDd
2026-02-03,Receipt,RCP/2025-26/00008,HDFC Bank 4471,RAZORPAY,"12,709.83",,Settlement setl_PS2GDMtGZCGcd2 / 2 orders / UTR HDFCN26020300009,HDFCN26020300009,Own Store,,guid_PJJZ08hxHwZKFe4b4cbt
2026-02-04,Payment,PAY/2025-26/00011,Salaries,STAFF,"4,86,500.00",,NACH DR-LUMEA SALARY BATCH FEB26-NPCI,,,,guid_Ubfc6YQPIyYhsm0YkLOd
2026-02-04,Sales,SAL/2025-26/00059,Sales,,,"2,11,870.00",Sales order BLI/SETL/260206,BLI/SETL/260206,Blinkit,,guid_RqnpIgk8zk4ljMvf6G5d
2026-02-05,Sales,SAL/2025-26/00025,Sales,,,"3,464.00",Sales order order_JRd7s7B078LQ3L,order_JRd7s7B078LQ3L,Own Store,,guid_mXiu1GIqjWme3FeqfMSD
2026-02-06,Journal,JNL/2025-26/00027,Marketplace Commission,BLINKIT,"38,136.60",,"Commission, GST and TCS on BLI/SETL/260206",BLI/SETL/260206,Blinkit,,guid_6lcsYkSSAwsKsHi9Rcm5
2026-02-06,Journal,JNL/2025-26/00027,GST Input,BLINKIT,"6,864.59",,"Commission, GST and TCS on BLI/SETL/260206",BLI/SETL/260206,Blinkit,,guid_1ScQfYSa2WUbvzebpTxC
2026-02-06,Journal,JNL/2025-26/00027,TCS Receivable,BLINKIT,"1,059.35",,"Commission, GST and TCS on BLI/SETL/260206",BLI/SETL/260206,Blinkit,,guid_upkzFYJtzz0VJrrIcdwf
2026-02-06,Payment,PAY/2025-26/00012,Packing Material,SHREE PACKAGING LLP,"1,32,450.00",,NEFT DR-SHREE PACKAGING LLP-INV/SP/2026/0503,,,,guid_aWl2J9uc5hDY9icGhAth
2026-02-06,Receipt,RCP/2025-26/00024,HDFC Bank 4471,BLINKIT,"1,65,809.46",,Marketplace settlement BLI/SETL/260206,BLI/SETL/260206,Blinkit,,guid_Sr543uj9h613v9KbuPmJ
2026-02-06,Sales,SAL/2025-26/00024,Sales,,,"46,878.50",Sales order order_tkI9MW1m62CqY0,order_tkI9MW1m62CqY0,Own Store,,guid_L32T3JqfQsxyT7ME1WGQ
2026-02-06,Sales,SAL/2025-26/00067,Sales,,,"74,900.00",Sales order INV-B2B-0168,INV-B2B-0168,B2B,,guid_ApYcNlFfqIQnS8cqGqII
2026-02-07,Journal,JNL/2025-26/00009,Chargeback Suspense,RAZORPAY,"46,878.50",,Chargeback raised on order order_tkI9MW1m62CqY0,disp_HHP7dCVGhfId1H,Own Store,,guid_7tKEFzxYkjGzcleBJitA
2026-02-07,Journal,JNL/2025-26/00009,Razorpay Clearing,RAZORPAY,,"46,878.50",Chargeback raised on order order_tkI9MW1m62CqY0,disp_HHP7dCVGhfId1H,Own Store,,guid_i7hgkTPkCpvf2Mq31B3K
2026-02-07,Journal,JNL/2025-26/00010,Bank Charges,RAZORPAY,69.28,,"MDR, GST and TDS 194-O on setl_UNJp4YhZS0VC1L",HDFCN26020700010,Own Store,,guid_GVlFLUs3vGRBqvsO7vcb
2026-02-07,Journal,JNL/2025-26/00010,GST Input,RAZORPAY,12.47,,"MDR, GST and TDS 194-O on setl_UNJp4YhZS0VC1L",HDFCN26020700010,Own Store,,guid_2IBq6geUzwLjdrqLKeQ8
2026-02-07,Journal,JNL/2025-26/00010,TDS Receivable,RAZORPAY,50.34,,"MDR, GST and TDS 194-O on setl_UNJp4YhZS0VC1L",HDFCN26020700010,Own Store,,guid_J9krvm7zhlEeBLgDqHXG
2026-02-07,Receipt,RCP/2025-26/00009,HDFC Bank 4471,RAZORPAY,"3,331.91",,Settlement setl_UNJp4YhZS0VC1L / 2 orders / UTR HDFCN26020700010,HDFCN26020700010,Own Store,,guid_GS73Elt6pNFRjDsLbET1
2026-02-08,Receipt,RCP/2025-26/00031,HDFC Bank 4471,PINELABS,"62,940.00",,POS counter settlement TID PL40218915,PL40218915,Retail Counter,,guid_PbLZ6Y6I8XlamXKJnXij
2026-02-09,Payment,PAY/2025-26/00013,Rent,VARDHMAN ESTATES,"92,000.00",,RTGS DR-VARDHMAN ESTATES-RENT FEB 2026,,,,guid_izEtaOwtgHTtMPXJqwrp
2026-02-10,Sales,SAL/2025-26/00026,Sales,,,"31,014.50",Sales order order_wn3gwjOW2JPVhm,order_wn3gwjOW2JPVhm,Own Store,,guid_q3qBCj6Cdj9A6zi9RRJV
2026-02-10,Sales,SAL/2025-26/00027,Sales,,,"2,336.00",Sales order order_I8mDv0lr2EofM4,order_I8mDv0lr2EofM4,Own Store,,guid_zb0gaKqBO9iuFumzepi9
2026-02-11,Journal,JNL/2025-26/00011,Bank Charges,RAZORPAY,46.72,,"MDR, GST and TDS 194-O on setl_bPFHXV0YqrJhRj",HDFCN26021100011,Own Store,,guid_oBb0Bbj8DgvKADQZBdCp
2026-02-11,Journal,JNL/2025-26/00011,GST Input,RAZORPAY,8.41,,"MDR, GST and TDS 194-O on setl_bPFHXV0YqrJhRj",HDFCN26021100011,Own Store,,guid_MtShEzzSQDd4EWWWY3ml
2026-02-11,Journal,JNL/2025-26/00011,TDS Receivable,RAZORPAY,33.35,,"MDR, GST and TDS 194-O on setl_bPFHXV0YqrJhRj",HDFCN26021100011,Own Store,,guid_kBwzccJGmjtZgKfU4ASc
2026-02-11,Receipt,RCP/2025-26/00010,HDFC Bank 4471,RAZORPAY,"33,262.02",,Settlement setl_bPFHXV0YqrJhRj / 2 orders / UTR HDFCN26021100011,HDFCN26021100011,Own Store,,guid_TzBQ0VjEPl1NH8Tilenf
2026-02-12,Payment,PAY/2025-26/00014,Freight Outward,DELHIVERY LIMITED,"87,310.00",,NEFT DR-DELHIVERY LIMITED-INV/DL/22841,,,,guid_2Bvf5KG5s56ViRCargr2
2026-02-13,Receipt,RCP/2025-26/00039,HDFC Bank 4471,SHRINGAR RETAIL LLP,"88,900.00",,Receipt against INV-B2B-0159,INV-B2B-0159,B2B,,guid_siVn77sEzw5Sq1urma55
2026-02-13,Sales,SAL/2025-26/00028,Sales,,,"20,316.00",Sales order order_4zsIK54AuFNpUQ,order_4zsIK54AuFNpUQ,Own Store,,guid_XMk5mDqewaAOumlSqy6m
2026-02-14,Sales,SAL/2025-26/00029,Sales,,,"44,743.00",Sales order order_SgnmvY3JMrpfAP,order_SgnmvY3JMrpfAP,Own Store,,guid_xeyrc6ICaaRySuEcTCe3
2026-02-14,Sales,SAL/2025-26/00030,Sales,,,"7,720.00",Sales order order_YmzsokGoiLKaPP,order_YmzsokGoiLKaPP,Own Store,,guid_oO4eNGOmwj2iDnhjjkQG
2026-02-15,Journal,JNL/2025-26/00012,Bank Charges,RAZORPAY,154.40,,"MDR, GST and TDS 194-O on setl_oYvHgvJSyfS1no",HDFCN26021500012,Own Store,,guid_j962w2a0bKOiKPtrMjLD
2026-02-15,Journal,JNL/2025-26/00012,GST Input,RAZORPAY,27.79,,"MDR, GST and TDS 194-O on setl_oYvHgvJSyfS1no",HDFCN26021500012,Own Store,,guid_OoplK33aoP6LxOz2lIX5
2026-02-15,Journal,JNL/2025-26/00012,TDS Receivable,RAZORPAY,72.78,,"MDR, GST and TDS 194-O on setl_oYvHgvJSyfS1no",HDFCN26021500012,Own Store,,guid_sLCpesxJqNFXVV7wXFrz
2026-02-15,Receipt,RCP/2025-26/00011,HDFC Bank 4471,RAZORPAY,"72,524.03",,Settlement setl_oYvHgvJSyfS1no / 3 orders / UTR HDFCN26021500012,HDFCN26021500012,Own Store,,guid_WUvOCJoRzTe29LXnmq0D
2026-02-17,Payment,PAY/2025-26/00015,GST Payable,GST DEPT,"1,41,220.00",,GST PMT-06 CHALLAN 26021234598765-FEB26,,,,guid_TLEtw57wcWut67GTfEHD
2026-02-17,Sales,SAL/2025-26/00033,Sales,,,"28,375.00",Sales order order_kL4KkHYqSjARpC,order_kL4KkHYqSjARpC,Own Store,,guid_b6kIO8PzTH4ZfvqBN5Mv
2026-02-17,Sales,SAL/2025-26/00068,Sales,,,"1,34,500.00",Sales order INV-B2B-0174,INV-B2B-0174,B2B,,guid_6CD1qx568jssdB4PZhf2
2026-02-18,Sales,SAL/2025-26/00031,Sales,,,"28,375.00",Sales order order_9ZZ33eT54KLC7g,order_9ZZ33eT54KLC7g,Own Store,,guid_UMsOnwkZL9CdVArPNp65
2026-02-18,Sales,SAL/2025-26/00032,Sales,,,"14,625.00",Sales order order_I5MIesupTS0pxX,order_I5MIesupTS0pxX,Own Store,,guid_XaW2cHcxI4N9DCtVYNnC
2026-02-18,Sales,SAL/2025-26/00034,Sales,,,"14,625.00",Sales order order_eu86VbYPVUSSlf,order_eu86VbYPVUSSlf,Own Store,,guid_IZhsWYUaf6g5Gtkacerv
2026-02-18,Sales,SAL/2025-26/00060,Sales,,,"1,42,300.00",Sales order ZEP/SETL/260220,ZEP/SETL/260220,Zepto,,guid_QnvCdA7hjQSv3OolDJoq
2026-02-19,Journal,JNL/2025-26/00013,TDS Receivable,RAZORPAY,43.00,,"MDR, GST and TDS 194-O on setl_CuZnTiYClxMNdd",HDFCN26021900013,Own Store,,guid_HppRvO7cmMeiKuDUug8N
2026-02-19,Journal,JNL/2025-26/00014,TDS Receivable,RAZORPAY,43.00,,"MDR, GST and TDS 194-O on setl_uFrwUwzrXpFW78",HDFCN26021900014,Own Store,,guid_BbKCr3U7oZCmvqANQvGS
